"ChEMBL ID;""Name"";""Synonyms"";""Type"";""Max Phase"";""Molecular Weight"";""Targets"";""Bioactivities"";""AlogP"";""PSA"";""HBA"";""HBD"";""#RO5 Violations"";""#Rotatable Bonds"";""Passes Ro3"";""QED Weighted"";""CX ApKa"";""CX BpKa"";""CX LogP"";""CX LogD"";""Aromatic Rings"";""Structure Type"";""Inorganic Flag"";""Heavy Atoms"";""HBA Lipinski"";""HBD Lipinski"";""#RO5 Violations (Lipinski)"";""Molecular Weight (Monoisotopic)"";""Molecular Species"";""Molecular Formula"";""Smiles""",,,
"CHEMBL2105097;""GUACETISAL"";""GUACETISAL"";""Small molecule"";""0"";""286.28"";""2"";""4"";""2.84"";""61.83"";""5"";""0"";""0"";""4"";""N"";""0.64"";""None"";""None"";""3.08"";""3.08"";""2"";""MOL"";""0"";""21"";""5"";""0"";""0"";""286.0841"";""NEUTRAL"";""C16H14O5"";""COc1ccccc1OC(=O)c1ccccc1OC(C)=O""",,,
"CHEMBL1278;""NARATRIPTAN"";""Amerge|NARATRIPTAN"";""Small molecule"";""4"";""335.47"";""11"";""47"";""2.07"";""65.20"";""3"";""2"";""0"";""5"";""N"";""0.88"";""11.55"";""9.18"";""1.44"";""-0.34"";""2"";""MOL"";""0"";""23"";""5"";""2"";""0"";""335.1667"";""BASE"";""C17H25N3O2S"";""CNS(=O)(=O)CCc1ccc2[nH]cc(C3CCN(C)CC3)c2c1""",,,
"CHEMBL52440;""DEXTROMETHORPHAN"";""DEXTROMETHORPHAN|Dextromethorphan|Dimetane-DX"";""Small molecule"";""4"";""271.40"";""142"";""428"";""3.38"";""12.47"";""2"";""0"";""0"";""1"";""N"";""0.78"";""None"";""9.85"";""3.49"";""1.08"";""1"";""MOL"";""0"";""20"";""2"";""0"";""0"";""271.1936"";""BASE"";""C18H25NO"";""COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3""",,,
"CHEMBL526;""PROPOFOL"";""DISOPROFOL|Diprivan|Disoprivan|ICI 35",868|ICI 35-868|ICI-35868|ICI35,"868|NSC-5105|PROPOFOL|Rapinovet"";""Small molecule"";""4"";""178.27"";""170"";""590"";""3.64"";""20.23"";""1"";""1"";""0"";""2"";""N"";""0.73"";""10.98"";""None"";""4.16"";""4.16"";""1"";""MOL"";""0"";""13"";""1"";""1"";""0"";""178.1358"";""NEUTRAL"";""C12H18O"";""CC(C)c1cccc(C(C)C)c1O""",
"CHEMBL460;""MOLINDONE"";""MOLINDONE|Moban|Molindone"";""Small molecule"";""4"";""276.38"";""21"";""61"";""1.96"";""45.33"";""3"";""1"";""0"";""3"";""Y"";""0.92"";""None"";""6.65"";""2.04"";""1.96"";""1"";""MOL"";""0"";""20"";""4"";""1"";""0"";""276.1838"";""NEUTRAL"";""C16H24N2O2"";""CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2""",,,
"CHEMBL2105345;""PROPANIDID"";""BAYER 1420|Epontol|FBA 1420|PROPANIDID|TH-2180|WH 5668"";""Small molecule"";""4"";""337.42"";""8"";""17"";""2.44"";""65.07"";""5"";""0"";""0"";""10"";""N"";""0.61"";""None"";""None"";""2.15"";""2.15"";""1"";""MOL"";""0"";""24"";""6"";""0"";""0"";""337.1889"";""NEUTRAL"";""C18H27NO5"";""CCCOC(=O)Cc1ccc(OCC(=O)N(CC)CC)c(OC)c1""",,,
"CHEMBL1201536;""NICOTINE POLACRILEX"";""COMMIT|NICORETTE (MINT)|NICOTINE POLACRILEX|Nicorette|Nicotine polacrilex|THRIVE"";""Small molecule"";""4"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""NONE"";""0"";"""";"""";"""";"""";"""";"""";"""";""""",,,
"CHEMBL681;""ETOMIDATE"";""Amidate|ETOMIDATE"";""Small molecule"";""4"";""244.29"";""36"";""141"";""2.67"";""44.12"";""4"";""0"";""0"";""4"";""N"";""0.78"";""None"";""4.25"";""2.50"";""2.50"";""2"";""MOL"";""0"";""18"";""4"";""0"";""0"";""244.1212"";""NEUTRAL"";""C14H16N2O2"";""CCOC(=O)c1cncn1[C@H](C)c1ccccc1""",,,
"CHEMBL3707215;""ETANAUTINE"";""ETANAUTINE"";""Small molecule"";""0"";""493.56"";"""";"""";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""MOL"";""0"";""None"";""None"";""None"";""None"";""493.2325"";""None"";""C26H31N5O5"";""CN(C)CCOC(c1ccccc1)c1ccccc1.Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O""",,,
"CHEMBL655;""MIDAZOLAM"";""MIDAZOLAM|MIDAZOLAM CIV|NAYZILAM|USL-261|USL261"";""Small molecule"";""4"";""325.77"";""54"";""327"";""4.32"";""30.18"";""3"";""0"";""0"";""1"";""N"";""0.65"";""None"";""6.19"";""3.97"";""3.95"";""3"";""MOL"";""0"";""23"";""3"";""0"";""0"";""325.0782"";""NEUTRAL"";""C18H13ClFN3"";""Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2""",,,
